date,value
1997-11-01,0.07721
1997-12-01,-0.05712
1998-01-01,0.41345
1998-02-01,0.54307
1998-03-01,0.86742
1998-04-01,0.61587
1998-05-01,0.49463
1998-06-01,0.63358
1998-07-01,0.62212
1998-08-01,0.64086
1998-09-01,-0.10553
1998-10-01,-0.22067
1998-11-01,-0.57249
1998-12-01,0.06706
1999-01-01,-0.40431
1999-02-01,-0.44390
1999-03-01,-0.71074
1999-04-01,0.22485
1999-05-01,0.53609
1999-06-01,0.64039
1999-07-01,0.17995
1999-08-01,-0.04862
1999-09-01,-0.13869
1999-10-01,-0.01398
1999-11-01,-0.15900
1999-12-01,0.09070
2000-01-01,-0.31629
2000-02-01,-0.02338
2000-03-01,0.36858
2000-04-01,0.40116
2000-05-01,0.10412
2000-06-01,-0.29412
2000-07-01,-0.60164
2000-08-01,-0.39880
2000-09-01,-0.41448
2000-10-01,-0.42430
2000-11-01,-0.49021
2000-12-01,-0.88070
2001-01-01,-1.06972
2001-02-01,-1.31400
2001-03-01,-1.16239
2001-04-01,-0.99386
2001-05-01,-0.90984
2001-06-01,-0.98394
2001-07-01,-1.10106
2001-08-01,-1.38950
2001-09-01,-1.45458
2001-10-01,-1.49181
2001-11-01,-1.81525
2001-12-01,-1.94988
2002-01-01,-2.09014
2002-02-01,-1.56431
2002-03-01,-1.12944
2002-04-01,-0.75842
2002-05-01,-0.58881
2002-06-01,-0.66616
2002-07-01,-0.76432
2002-08-01,-0.54137
2002-09-01,-0.56266
2002-10-01,-0.19082
2002-11-01,-0.27294
2002-12-01,-0.47495
2003-01-01,-0.59320
2003-02-01,-1.21727
2003-03-01,-1.15936
2003-04-01,-1.29216
2003-05-01,-0.51919
2003-06-01,-0.49401
2003-07-01,-0.62410
2003-08-01,-1.00624
2003-09-01,-0.89178
2003-10-01,-0.31730
2003-11-01,0.10580
2003-12-01,0.12375
2004-01-01,0.10745
2004-02-01,0.14563
2004-03-01,0.13167
2004-04-01,0.25095
2004-05-01,0.57540
2004-06-01,0.62756
2004-07-01,0.89653
2004-08-01,0.46420
2004-09-01,0.40298
2004-10-01,0.12293
2004-11-01,-0.09630
2004-12-01,-0.08021
2005-01-01,-0.68795
2005-02-01,-0.49784
2005-03-01,-0.54998
2005-04-01,0.70263
2005-05-01,0.43145
2005-06-01,0.29550
2005-07-01,-0.37998
2005-08-01,0.00521
2005-09-01,0.18430
2005-10-01,0.74718
2005-11-01,0.26049
2005-12-01,-0.38332
2006-01-01,-0.84357
2006-02-01,-0.56901
2006-03-01,0.11185
2006-04-01,0.24975
2006-05-01,0.47056
2006-06-01,0.32200
2006-07-01,0.13450
2006-08-01,0.05692
2006-09-01,-0.30030
2006-10-01,-0.11907
2006-11-01,-0.22647
2006-12-01,-0.20370
2007-01-01,-0.70742
2007-02-01,-0.51064
2007-03-01,-0.28338
2007-04-01,0.00622
2007-05-01,0.06375
2007-06-01,0.16824
2007-07-01,0.32190
2007-08-01,0.11026
2007-09-01,-0.14220
2007-10-01,-0.27687
2007-11-01,-0.28428
2007-12-01,-0.19437
2008-01-01,0.15562
2008-02-01,0.18658
2008-03-01,0.51367
2008-04-01,0.49274
2008-05-01,0.52172
2008-06-01,0.36960
2008-07-01,0.09809
2008-08-01,0.32310
2008-09-01,0.56143
2008-10-01,1.17485
2008-11-01,0.23921
2008-12-01,-0.34745
2009-01-01,-1.44192
2009-02-01,-1.09728
2009-03-01,-2.17794
2009-04-01,-2.06688
2009-05-01,-2.47007
2009-06-01,-1.93952
2009-07-01,-2.08697
2009-08-01,-2.27378
2009-09-01,-2.09901
2009-10-01,-1.53770
