day,count,dkim,pass_vs_block,pass_vs_maybe,percent_spam,recipients,sanitation_checks,size,spamscore,timing
02-26,3953,0.896937573616019,0.025,0.095561775289884,0.0183288409703504,1.0207100591716,12.1556459816887,40403.533265874,2.63146134282807,1091.24133569441
02-27,4186,0.842001316655695,0.0633971291866029,0.137665198237885,0.0344730149759819,1.00881057268722,14.9436429215509,30609.2439082656,7.21698196573492,1189.12255136168
02-28,3998,0.858235294117647,0.0493438320209974,0.101686507936508,0.0290178571428571,1.01512163050625,13.560824742268,59218.8849424712,4.18280103092782,1024.45597798899
02-29,9388,0.893573475235366,0.0350525788683025,0.0772545889864326,0.028876404494382,1.02128712871287,11.7597872340426,56219.956859821,1.18440468085107,1250.06806561568
03-01,14325,0.944197063003316,0.013818783616053,0.0394906511927789,0.0145477999140032,1.01248378728923,10.5403607332939,26417.1055497382,-0.195649172087517,1109.91567190227
03-02,7845,0.881617451449854,0.0321759680058171,0.0991539763113367,0.0282628982802293,1.02811350499212,11.4571953178793,69978.7872530274,1.39346040853798,1232.21618865519
03-03,8869,0.878146580530185,0.0628668520234785,0.126170243410629,0.0525146198830409,1.02316258351893,11.4730458221024,51465.8453038674,1.8475960723912,1257.2622618108
03-04,6092,0.870739023725116,0.0590212140306658,0.0996784565916399,0.0536854824788538,1.02189552705662,11.8125163655407,51632.7994090611,1.97938832155015,1378.46979645437
03-05,3805,0.891279069767442,0.0805845511482255,0.109583501819652,0.0585030111843992,1.01516034985423,12.4469873890705,33953.8270696452,3.01306725829049,1097.90275952694
03-06,4237,0.888709677419355,0.0510601471224578,0.0774084981068574,0.0318796225452691,1.01624548736462,12.2568578553616,37025.1609629455,2.20615760598503,1023.11493981591
03-07,8088,0.87748421790975,0.0310184387385835,0.0678050397877984,0.0253908860082854,1.02294405774684,11.6978144513827,47920.0286844708,1.46348840321141,1248.10744312562
03-08,7188,0.868444444444444,0.034639100471527,0.0819248016557434,0.030712711241734,1.01630573248408,11.6947951273533,73314.9558987201,1.27428438538205,1382.75166944908
03-09,7816,0.87125748502994,0.0323378980366276,0.0746292205743137,0.0304712892741062,1.02627551020408,11.7267880941804,40314.2745649949,1.51015459795645,1323.35951893552
03-10,8070,0.869391824526421,0.0318756073858115,0.0743356253484482,0.0269712220931733,1.02447451770803,12.0007643312102,38599.5257744734,1.38090165605094,1289.96666666667
