STORE_NUMBER,STORE_NAME,ZIP,CARRIER_ROUTE
97,Downtown Atlanta,30303,B001
97,Downtown Atlanta,30303,C007
97,Downtown Atlanta,30303,C011
97,Downtown Atlanta,30303,C015
97,Downtown Atlanta,30303,C027
97,Downtown Atlanta,30303,C030
97,Downtown Atlanta,30303,C033
97,Downtown Atlanta,30303,C034
97,Downtown Atlanta,30303,C036
97,Downtown Atlanta,30303,C039
97,Downtown Atlanta,30303,C041
97,Downtown Atlanta,30303,C046
97,Downtown Atlanta,30303,C047
97,Downtown Atlanta,30305,C002
97,Downtown Atlanta,30305,C003
97,Downtown Atlanta,30305,C005
97,Downtown Atlanta,30305,C007
97,Downtown Atlanta,30305,C009
97,Downtown Atlanta,30305,C010
97,Downtown Atlanta,30305,C014
97,Downtown Atlanta,30305,C015
97,Downtown Atlanta,30305,C017
97,Downtown Atlanta,30305,C018
97,Downtown Atlanta,30305,C020
97,Downtown Atlanta,30305,C022
97,Downtown Atlanta,30305,C023
97,Downtown Atlanta,30305,C026
97,Downtown Atlanta,30305,C027
97,Downtown Atlanta,30305,C028
97,Downtown Atlanta,30305,C030
97,Downtown Atlanta,30305,C031
97,Downtown Atlanta,30305,C032
97,Downtown Atlanta,30305,C034
97,Downtown Atlanta,30305,C037
97,Downtown Atlanta,30305,C043
97,Downtown Atlanta,30305,C044
97,Downtown Atlanta,30305,C050
97,Downtown Atlanta,30305,C055
97,Downtown Atlanta,30305,C064
97,Downtown Atlanta,30305,C070
97,Downtown Atlanta,30305,C090
97,Downtown Atlanta,30306,C002
97,Downtown Atlanta,30306,C004
97,Downtown Atlanta,30306,C005
97,Downtown Atlanta,30306,C006
97,Downtown Atlanta,30306,C008
97,Downtown Atlanta,30306,C009
97,Downtown Atlanta,30306,C012
97,Downtown Atlanta,30306,C013
97,Downtown Atlanta,30306,C015
97,Downtown Atlanta,30306,C016
97,Downtown Atlanta,30306,C017
97,Downtown Atlanta,30306,C018
97,Downtown Atlanta,30306,C019
97,Downtown Atlanta,30306,C020
97,Downtown Atlanta,30306,C021
97,Downtown Atlanta,30306,C023
97,Downtown Atlanta,30306,C025
97,Downtown Atlanta,30306,C026
97,Downtown Atlanta,30306,C027
97,Downtown Atlanta,30307,C001
97,Downtown Atlanta,30307,C002
97,Downtown Atlanta,30307,C004
97,Downtown Atlanta,30307,C005
97,Downtown Atlanta,30307,C006
97,Downtown Atlanta,30307,C007
97,Downtown Atlanta,30307,C009
97,Downtown Atlanta,30307,C010
97,Downtown Atlanta,30307,C011
97,Downtown Atlanta,30307,C015
97,Downtown Atlanta,30307,C016
97,Downtown Atlanta,30307,C018
97,Downtown Atlanta,30307,C019
97,Downtown Atlanta,30307,C020
97,Downtown Atlanta,30307,C021
97,Downtown Atlanta,30307,C023
97,Downtown Atlanta,30308,B001
97,Downtown Atlanta,30308,B002
97,Downtown Atlanta,30308,B003
97,Downtown Atlanta,30308,B004
97,Downtown Atlanta,30308,B005
97,Downtown Atlanta,30308,B006
97,Downtown Atlanta,30308,B007
97,Downtown Atlanta,30308,B008
97,Downtown Atlanta,30308,B009
97,Downtown Atlanta,30308,B010
97,Downtown Atlanta,30308,B011
97,Downtown Atlanta,30308,B012
97,Downtown Atlanta,30308,B013
97,Downtown Atlanta,30308,B014
97,Downtown Atlanta,30308,B015
97,Downtown Atlanta,30308,B016
97,Downtown Atlanta,30308,C003
97,Downtown Atlanta,30308,C007
97,Downtown Atlanta,30308,C010
97,Downtown Atlanta,30308,C011
97,Downtown Atlanta,30308,C013
97,Downtown Atlanta,30308,C014
97,Downtown Atlanta,30308,C015
97,Downtown Atlanta,30308,C016
97,Downtown Atlanta,30308,C018
97,Downtown Atlanta,30308,C019
97,Downtown Atlanta,30308,C022
97,Downtown Atlanta,30308,C024
97,Downtown Atlanta,30308,C026
97,Downtown Atlanta,30308,C027
97,Downtown Atlanta,30308,C072
97,Downtown Atlanta,30308,C770
97,Downtown Atlanta,30309,C003
97,Downtown Atlanta,30309,C004
97,Downtown Atlanta,30309,C008
97,Downtown Atlanta,30309,C010
97,Downtown Atlanta,30309,C011
97,Downtown Atlanta,30309,C012
97,Downtown Atlanta,30309,C013
97,Downtown Atlanta,30309,C015
97,Downtown Atlanta,30309,C016
97,Downtown Atlanta,30309,C019
97,Downtown Atlanta,30309,C022
97,Downtown Atlanta,30309,C023
97,Downtown Atlanta,30309,C025
97,Downtown Atlanta,30309,C029
97,Downtown Atlanta,30309,C032
97,Downtown Atlanta,30309,C033
97,Downtown Atlanta,30309,C036
97,Downtown Atlanta,30309,C037
97,Downtown Atlanta,30309,C038
97,Downtown Atlanta,30309,C040
97,Downtown Atlanta,30309,C045
97,Downtown Atlanta,30309,C050
