STORE_NUMBER,STORE_NAME,ZIP,CARRIER_ROUTE
96,Fort Lauderdale,33004,B001
96,Fort Lauderdale,33004,B002
96,Fort Lauderdale,33004,B003
96,Fort Lauderdale,33004,B004
96,Fort Lauderdale,33004,B005
96,Fort Lauderdale,33004,B006
96,Fort Lauderdale,33004,B007
96,Fort Lauderdale,33004,B008
96,Fort Lauderdale,33004,B009
96,Fort Lauderdale,33004,B010
96,Fort Lauderdale,33004,B011
96,Fort Lauderdale,33004,B012
96,Fort Lauderdale,33004,B013
96,Fort Lauderdale,33004,B014
96,Fort Lauderdale,33004,B015
96,Fort Lauderdale,33004,B016
96,Fort Lauderdale,33004,B017
96,Fort Lauderdale,33004,B018
96,Fort Lauderdale,33004,B019
96,Fort Lauderdale,33004,B020
96,Fort Lauderdale,33004,B021
96,Fort Lauderdale,33004,B022
96,Fort Lauderdale,33004,B023
96,Fort Lauderdale,33004,B024
96,Fort Lauderdale,33004,C001
96,Fort Lauderdale,33004,C002
96,Fort Lauderdale,33004,C004
96,Fort Lauderdale,33004,C005
96,Fort Lauderdale,33004,C006
96,Fort Lauderdale,33004,C007
96,Fort Lauderdale,33004,C008
96,Fort Lauderdale,33004,C009
96,Fort Lauderdale,33004,C010
96,Fort Lauderdale,33004,C012
96,Fort Lauderdale,33004,C013
96,Fort Lauderdale,33004,C014
96,Fort Lauderdale,33004,G000
96,Fort Lauderdale,33301,C001
96,Fort Lauderdale,33301,C003
96,Fort Lauderdale,33301,C005
96,Fort Lauderdale,33301,C007
96,Fort Lauderdale,33301,C008
96,Fort Lauderdale,33301,C009
96,Fort Lauderdale,33301,C010
96,Fort Lauderdale,33301,C011
96,Fort Lauderdale,33301,C014
96,Fort Lauderdale,33301,C017
96,Fort Lauderdale,33301,C019
96,Fort Lauderdale,33301,C020
96,Fort Lauderdale,33301,C021
96,Fort Lauderdale,33301,C022
96,Fort Lauderdale,33301,C024
96,Fort Lauderdale,33301,C025
96,Fort Lauderdale,33301,C026
96,Fort Lauderdale,33301,C027
96,Fort Lauderdale,33301,C030
96,Fort Lauderdale,33304,C001
96,Fort Lauderdale,33304,C002
96,Fort Lauderdale,33304,C003
96,Fort Lauderdale,33304,C005
96,Fort Lauderdale,33304,C006
96,Fort Lauderdale,33304,C007
96,Fort Lauderdale,33304,C008
96,Fort Lauderdale,33304,C009
96,Fort Lauderdale,33304,C010
96,Fort Lauderdale,33304,C011
96,Fort Lauderdale,33304,C015
96,Fort Lauderdale,33304,C016
96,Fort Lauderdale,33304,C017
96,Fort Lauderdale,33304,C018
96,Fort Lauderdale,33304,C020
96,Fort Lauderdale,33304,C021
96,Fort Lauderdale,33304,C022
96,Fort Lauderdale,33304,C023
96,Fort Lauderdale,33304,C024
96,Fort Lauderdale,33304,C025
96,Fort Lauderdale,33304,C028
96,Fort Lauderdale,33304,C030
96,Fort Lauderdale,33304,C031
96,Fort Lauderdale,33305,C001
96,Fort Lauderdale,33305,C002
96,Fort Lauderdale,33305,C003
96,Fort Lauderdale,33305,C004
96,Fort Lauderdale,33305,C005
96,Fort Lauderdale,33305,C006
96,Fort Lauderdale,33305,C007
96,Fort Lauderdale,33305,C008
96,Fort Lauderdale,33305,C009
96,Fort Lauderdale,33305,C010
96,Fort Lauderdale,33305,C012
96,Fort Lauderdale,33305,C013
96,Fort Lauderdale,33305,C014
96,Fort Lauderdale,33305,C015
96,Fort Lauderdale,33305,C017
96,Fort Lauderdale,33305,C018
96,Fort Lauderdale,33306,C001
96,Fort Lauderdale,33306,C003
96,Fort Lauderdale,33306,C004
96,Fort Lauderdale,33306,C005
96,Fort Lauderdale,33306,C006
96,Fort Lauderdale,33306,C007
96,Fort Lauderdale,33306,C008
96,Fort Lauderdale,33308,C005
96,Fort Lauderdale,33308,C006
96,Fort Lauderdale,33308,C007
96,Fort Lauderdale,33308,C008
96,Fort Lauderdale,33308,C009
96,Fort Lauderdale,33308,C010
96,Fort Lauderdale,33308,C011
96,Fort Lauderdale,33308,C012
96,Fort Lauderdale,33308,C013
96,Fort Lauderdale,33308,C014
96,Fort Lauderdale,33308,C015
96,Fort Lauderdale,33308,C016
96,Fort Lauderdale,33308,C017
96,Fort Lauderdale,33308,C018
96,Fort Lauderdale,33308,C019
96,Fort Lauderdale,33308,C020
96,Fort Lauderdale,33308,C021
96,Fort Lauderdale,33308,C022
96,Fort Lauderdale,33308,C024
96,Fort Lauderdale,33308,C025
96,Fort Lauderdale,33308,C026
96,Fort Lauderdale,33308,C027
96,Fort Lauderdale,33308,C028
96,Fort Lauderdale,33308,C029
96,Fort Lauderdale,33308,C030
96,Fort Lauderdale,33308,C034
96,Fort Lauderdale,33308,C036
96,Fort Lauderdale,33308,C037
96,Fort Lauderdale,33308,C038
96,Fort Lauderdale,33308,C040
96,Fort Lauderdale,33308,C042
96,Fort Lauderdale,33308,C044
96,Fort Lauderdale,33308,C047
96,Fort Lauderdale,33308,C049
96,Fort Lauderdale,33308,C051
96,Fort Lauderdale,33311,C001
96,Fort Lauderdale,33311,C002
96,Fort Lauderdale,33311,C003
96,Fort Lauderdale,33311,C004
96,Fort Lauderdale,33311,C005
96,Fort Lauderdale,33311,C006
96,Fort Lauderdale,33311,C008
96,Fort Lauderdale,33311,C009
96,Fort Lauderdale,33311,C011
96,Fort Lauderdale,33311,C012
96,Fort Lauderdale,33311,C013
96,Fort Lauderdale,33311,C014
96,Fort Lauderdale,33311,C015
96,Fort Lauderdale,33311,C016
96,Fort Lauderdale,33311,C017
96,Fort Lauderdale,33311,C018
96,Fort Lauderdale,33311,C019
96,Fort Lauderdale,33311,C020
96,Fort Lauderdale,33311,C021
96,Fort Lauderdale,33311,C023
96,Fort Lauderdale,33311,C025
96,Fort Lauderdale,33311,C026
96,Fort Lauderdale,33311,C027
96,Fort Lauderdale,33311,C028
96,Fort Lauderdale,33311,C029
96,Fort Lauderdale,33311,C030
96,Fort Lauderdale,33311,C031
96,Fort Lauderdale,33311,C033
96,Fort Lauderdale,33311,C035
96,Fort Lauderdale,33311,C036
96,Fort Lauderdale,33311,C037
96,Fort Lauderdale,33311,C038
96,Fort Lauderdale,33311,C039
96,Fort Lauderdale,33311,C040
