zip9,count
606466409,8
606301913,7
606302930,7
606312303,7
606343403,7
606465557,7
606301104,6
606302935,6
606303105,6
606303113,6
606303144,6
606304609,6
606304633,6
606342238,6
606342509,6
606466420,6
606561110,6
606563516,6
606563736,6
607064829,6
607064832,6
601761608,5
606301014,5
606301021,5
606301022,5
606301042,5
606301204,5
606301205,5
606301215,5
606301235,5
606301237,5
606301336,5
606301918,5
606302912,5
606302949,5
606303008,5
606303026,5
606303106,5
606303204,5
606303349,5
606341506,5
606341737,5
606342521,5
606342653,5
606342665,5
606343022,5
606343029,5
606343326,5
606463814,5
606465325,5
606465333,5
606465553,5
606561429,5
606561448,5
606561449,5
606561802,5
606562231,5
606562304,5
606563505,5
606563713,5
607061002,5
607061118,5
607061149,5
607064827,5
607067127,5
600185202,4
606301039,4
606301106,4
606301203,4
606301209,4
606301214,4
606301216,4
606301302,4
606301814,4
606301828,4
606301839,4
606301860,4
606301906,4
606302001,4
606302234,4
606302903,4
606302911,4
606302920,4
606302928,4
606303025,4
606303033,4
606303203,4
606303224,4
606303225,4
606303271,4
606303330,4
606303334,4
606303508,4
606303812,4
606304606,4
606304607,4
606304608,4
606311534,4
606311546,4
606311742,4
606311764,4
606312444,4
606312628,4
606313042,4
606313607,4
606313620,4
606313922,4
606341524,4
606341570,4
606341585,4
606341613,4
606341641,4
606341712,4
606341743,4
606342046,4
606342049,4
606342050,4
606342369,4
606342382,4
606342621,4
606342641,4
606342651,4
606342944,4
606343127,4
606343211,4
606343249,4
606343314,4
606343407,4
606343717,4
606343755,4
606411417,4
606465327,4
606465504,4
606466105,4
606466122,4
606466160,4
606466208,4
606466230,4
606466309,4
606466417,4
606561111,4
606561606,4
606561762,4
606562019,4
606562022,4
606562108,4
606562208,4
606562224,4
606562233,4
606562513,4
606562711,4
606562905,4
606563501,4
606563715,4
606563740,4
606563908,4
607063100,4
607063130,4
607063250,4
607063403,4
607063420,4
607064538,4
607067198,4
607067212,4
607067216,4
607067222,4
607067432,4
607143403,4
600682406,3
600684942,3
600685118,3
600685338,3
601711626,3
601761428,3
601761904,3
601762102,3
601762412,3
606301005,3
606301011,3
606301015,3
606301031,3
606301040,3
606301043,3
606301047,3
606301100,3
606301102,3
606301120,3
606301213,3
606301236,3
606301424,3
606301429,3
606301435,3
606301436,3
606301812,3
606301813,3
606301901,3
606301903,3
606301922,3
606301934,3
606301963,3
606302011,3
606302019,3
606302110,3
606302204,3
606302212,3
606302904,3
606302916,3
606302929,3
606302932,3
606303004,3
606303006,3
606303009,3
606303014,3
606303104,3
606303111,3
606303116,3
606303140,3
606303141,3
606303154,3
606303210,3
606303218,3
606303222,3
606303226,3
606303321,3
606303332,3
606303340,3
606303717,3
606304613,3
606311084,3
606311434,3
606311545,3
606311677,3
606311714,3
606311753,3
606311771,3
606312027,3
606312054,3
606312230,3
606312302,3
606312412,3
606312453,3
606312455,3
606312510,3
606312603,3
606312614,3
606312616,3
606312617,3
606313013,3
606313024,3
606313130,3
606313149,3
606313154,3
606313304,3
606313410,3
606313611,3
606313822,3
606313824,3
606341504,3
606341505,3
606341520,3
606341523,3
606341527,3
606341534,3
606341549,3
606341609,3
606341612,3
606341614,3
606341616,3
606341618,3
606341624,3
606341721,3
606341722,3
606341729,3
606341741,3
606341742,3
606341744,3
606341927,3
606342003,3
606342030,3
606342031,3
606342033,3
606342048,3
606342226,3
606342307,3
606342317,3
606342320,3
606342323,3
606342327,3
606342368,3
606342378,3
606342414,3
606342426,3
606342429,3
606342503,3
606342506,3
606342518,3
606342530,3
606342541,3
606342545,3
606342546,3
606342548,3
606342630,3
606342631,3
606342648,3
606342849,3
606342921,3
606342949,3
606342950,3
606343017,3
606343028,3
606343036,3
606343043,3
606343119,3
606343132,3
606343201,3
606343246,3
606343248,3
606343334,3
606343406,3
606343410,3
606343424,3
606343444,3
606343447,3
606343528,3
606343541,3
606343633,3
606343641,3
606343707,3
606343710,3
606343817,3
606343818,3
606343824,3
606343916,3
606344013,3
606344024,3
606344121,3
606344232,3
606344244,3
606344341,3
606344814,3
606346600,3
606411324,3
606411447,3
606411470,3
606412525,3
606413212,3
606461037,3
606461315,3
606463612,3
606463712,3
606463815,3
606464607,3
606464701,3
606465303,3
606465311,3
606465324,3
606465336,3
606465405,3
606465543,3
606466109,3
606466118,3
606466221,3
606466412,3
606561434,3
606561605,3
606561622,3
606561623,3
606561640,3
606561648,3
606561701,3
606561720,3
606561723,3
606561724,3
606561726,3
606561729,3
606561732,3
606561826,3
606561836,3
606561901,3
606561920,3
606561921,3
606561923,3
606562020,3
606562107,3
606562109,3
606562115,3
606562116,3
606562122,3
606562123,3
606562129,3
606562153,3
606562217,3
606562219,3
606562511,3
606562703,3
606562924,3
606563319,3
606563331,3
606563606,3
606563608,3
606563609,3
606563622,3
606563705,3
606563708,3
606563712,3
606563721,3
606563731,3
606563812,3
606563822,3
606563826,3
606563915,3
606563923,3
606564019,3
606564051,3
606564148,3
607061004,3
607061016,3
607061104,3
607061106,3
607061107,3
607061112,3
607061115,3
607061117,3
607061126,3
607061157,3
607062806,3
607063121,3
607063216,3
607063226,3
607063311,3
607063323,3
607063353,3
607063365,3
607063410,3
607063413,3
607063417,3
607063418,3
607063421,3
607063427,3
607063509,3
607063521,3
607063526,3
607063624,3
607064318,3
607064421,3
607064425,3
607064513,3
607064725,3
607064734,3
607064813,3
607064821,3
607064831,3
607064834,3
607064837,3
607064846,3
607067103,3
607067120,3
607067124,3
607067129,3
607067131,3
607067213,3
607067215,3
607067217,3
607067221,3
607067437,3
607071312,3
607071442,3
607071549,3
607141515,3
607143117,3
600183302,2
600184034,2
600184431,2
600184905,2
600185046,2
600185232,2
600532119,2
600681005,2
600682146,2
600682172,2
600682811,2
600683168,2
600683631,2
600683949,2
600684121,2
600684236,2
600684314,2
600684370,2
600684508,2
600684538,2
600684539,2
600684621,2
600684634,2
600684727,2
600684744,2
600684801,2
600684829,2
600685032,2
600685047,2
600685184,2
600685226,2
600685229,2
600685245,2
600685433,2
600685445,2
600685452,2
600685510,2
601311504,2
601311517,2
601311606,2
601311613,2
601311633,2
601311652,2
601311705,2
601311718,2
601311751,2
601311806,2
601311816,2
601311827,2
601311922,2
601312008,2
601312140,2
601312456,2
601312620,2
601312711,2
601312767,2
601313156,2
601313413,2
601313416,2
601313417,2
601641818,2
601711146,2
601711514,2
601761007,2
601761067,2
601761101,2
601761111,2
601761114,2
601761125,2
601761130,2
601761340,2
601761412,2
601761429,2
601761439,2
601761531,2
601761607,2
601761609,2
601761612,2
601761617,2
601761621,2
601761622,2
601761653,2
601761815,2
601761825,2
601761832,2
601761839,2
601761845,2
601761902,2
601761917,2
601761930,2
601762012,2
601762013,2
601762101,2
601762106,2
601762138,2
601762206,2
601762217,2
601762246,2
601762271,2
601762408,2
601762422,2
601762485,2
601762701,2
603051066,2
606301010,2
606301019,2
606301024,2
606301029,2
606301050,2
606301103,2
606301109,2
606301111,2
606301117,2
606301122,2
606301123,2
606301125,2
606301128,2
606301139,2
606301206,2
606301212,2
606301222,2
606301226,2
606301230,2
606301234,2
606301238,2
606301249,2
606301250,2
606301306,2
606301309,2
606301310,2
606301314,2
606301327,2
606301331,2
606301335,2
606301408,2
606301422,2
606301437,2
606301615,2
606301622,2
606301800,2
606301810,2
606301811,2
606301815,2
606301816,2
606301821,2
606301853,2
606301908,2
606301909,2
606301912,2
606301919,2
606301920,2
606301921,2
606301923,2
606301929,2
606301940,2
606301962,2
606302004,2
606302025,2
606302037,2
606302215,2
606302228,2
606302233,2
606302236,2
606302415,2
606302905,2
606302906,2
606302907,2
606302908,2
606302910,2
606302917,2
606302918,2
606302923,2
606302925,2
606302934,2
606302936,2
606302942,2
606303002,2
606303005,2
606303010,2
606303012,2
606303016,2
606303021,2
606303022,2
606303023,2
606303029,2
606303107,2
606303109,2
606303110,2
606303115,2
606303121,2
606303122,2
606303124,2
606303134,2
606303137,2
606303142,2
606303156,2
606303207,2
606303208,2
606303209,2
606303214,2
606303216,2
606303217,2
606303228,2
606303304,2
606303306,2
606303309,2
606303312,2
606303320,2
606303324,2
606303327,2
606303329,2
606303331,2
606303337,2
606303401,2
606303402,2
606303452,2
606303502,2
606303505,2
606303513,2
606303517,2
606303548,2
606303621,2
606303706,2
606303710,2
606303821,2
606303822,2
606303923,2
606304605,2
606304610,2
606304612,2
606304614,2
606304616,2
606304663,2
606304664,2
606304722,2
606311014,2
606311062,2
606311113,2
606311114,2
606311131,2
606311155,2
606311273,2
606311327,2
606311357,2
606311503,2
606311509,2
606311525,2
606311552,2
606311563,2
606311631,2
606311647,2
606311648,2
606311686,2
606311709,2
606311732,2
606311736,2
606311738,2
606311747,2
606311766,2
606311801,2
606311810,2
606311813,2
606311816,2
606311832,2
606311835,2
606311907,2
606311917,2
606311919,2
606311925,2
606311927,2
606311933,2
606311942,2
606312002,2
606312015,2
606312031,2
606312032,2
606312033,2
606312044,2
606312046,2
606312055,2
606312101,2
606312105,2
606312108,2
606312109,2
606312111,2
606312205,2
606312211,2
606312246,2
606312266,2
606312273,2
606312274,2
606312278,2
606312279,2
606312289,2
606312304,2
606312404,2
606312430,2
606312435,2
606312439,2
606312442,2
606312443,2
606312452,2
606312454,2
606312536,2
606312609,2
606312610,2
606312618,2
606312649,2
606312905,2
606312909,2
606312919,2
606312923,2
606312939,2
606312943,2
606313018,2
606313051,2
606313057,2
606313064,2
606313073,2
606313129,2
606313145,2
606313151,2
606313153,2
606313156,2
606313162,2
606313207,2
606313312,2
606313316,2
606313328,2
606313621,2
606313747,2
606313815,2
606313829,2
606313912,2
606313935,2
606314259,2
606314315,2
606314374,2
606314389,2
606316600,2
606341028,2
606341038,2
606341424,2
606341440,2
606341501,2
606341502,2
606341509,2
606341522,2
606341526,2
606341532,2
606341533,2
606341546,2
606341548,2
606341604,2
606341608,2
606341610,2
606341617,2
606341621,2
606341625,2
606341632,2
606341633,2
606341713,2
606341716,2
606341728,2
606341730,2
606341911,2
606341914,2
606341915,2
606341921,2
606341924,2
606341955,2
606341988,2
606342002,2
606342007,2
606342017,2
606342020,2
606342023,2
606342038,2
606342047,2
606342053,2
606342083,2
606342125,2
606342163,2
606342227,2
606342229,2
606342231,2
606342233,2
606342234,2
606342235,2
606342246,2
606342321,2
606342325,2
606342326,2
606342331,2
606342341,2
606342345,2
606342351,2
606342352,2
606342353,2
606342355,2
606342360,2
606342361,2
606342362,2
606342365,2
606342371,2
606342372,2
606342374,2
606342376,2
606342380,2
606342381,2
606342383,2
606342396,2
606342415,2
606342425,2
606342427,2
606342428,2
606342432,2
606342433,2
606342447,2
606342510,2
606342515,2
606342516,2
606342519,2
606342528,2
606342529,2
606342532,2
606342534,2
